,raceId,driverId,max_lap
0,841,1,58
1,841,2,57
2,841,3,22
3,841,4,58
4,841,5,19
5,841,10,49
6,841,13,58
7,841,15,56
8,841,16,57
9,841,17,58
10,841,18,58
11,841,20,58
12,841,22,48
13,841,30,19
14,841,67,57
15,841,153,57
16,841,155,58
17,841,808,58
18,841,813,9
19,841,814,57
20,841,815,58
21,841,816,54
22,842,1,56
23,842,2,56
24,842,3,55
25,842,4,56
26,842,5,55
27,842,10,54
28,842,13,56
29,842,15,31
30,842,16,56
31,842,17,56
32,842,18,56
33,842,20,56
34,842,22,22
35,842,24,46
36,842,30,56
37,842,39,14
38,842,67,55
39,842,153,55
40,842,155,56
41,842,808,52
42,842,813,8
43,842,814,56
44,842,815,23
45,842,816,42
46,843,1,56
47,843,2,56
48,843,3,56
49,843,4,56
50,843,5,55
51,843,10,54
52,843,13,56
53,843,15,55
54,843,16,55
55,843,17,56
56,843,18,56
57,843,20,56
58,843,22,56
59,843,24,54
60,843,30,56
61,843,39,54
62,843,67,56
63,843,153,9
64,843,155,56
65,843,808,56
66,843,813,55
67,843,814,56
68,843,815,55
69,843,816,54
70,844,1,58
71,844,2,58
72,844,3,58
73,844,4,58
74,844,5,56
75,844,13,58
76,844,15,57
77,844,16,57
78,844,17,58
79,844,18,58
80,844,20,58
81,844,22,57
82,844,24,53
83,844,30,58
84,844,39,55
85,844,67,58
86,844,153,57
87,844,155,58
88,844,808,58
89,844,813,57
90,844,814,44
91,844,815,57
92,844,816,56
93,845,1,66
94,845,2,65
95,845,3,65
96,845,4,65
97,845,5,48
98,845,10,63
99,845,13,58
100,845,15,64
101,845,16,65
102,845,17,66
103,845,18,66
104,845,20,66
105,845,22,64
106,845,24,28
107,845,30,65
108,845,39,61
109,845,67,65
110,845,153,64
111,845,155,65
112,845,808,65
113,845,813,65
114,845,814,65
115,845,815,65
116,845,816,62
117,846,1,78
118,846,2,77
119,846,3,76
120,846,4,78
121,846,5,76
122,846,10,30
123,846,13,32
124,846,15,76
125,846,16,77
126,846,17,78
127,846,18,78
128,846,20,78
129,846,22,77
130,846,24,75
131,846,30,32
132,846,39,74
133,846,67,77
134,846,153,66
135,846,155,78
136,846,808,67
137,846,813,73
138,846,814,76
139,846,816,75
140,847,1,7
141,847,2,55
142,847,3,70
143,847,4,36
144,847,5,28
145,847,10,69
146,847,13,70
147,847,15,69
148,847,16,49
149,847,17,70
150,847,18,70
151,847,20,70
152,847,22,70
153,847,24,69
154,847,30,70
155,847,37,70
156,847,39,69
157,847,67,70
158,847,153,70
159,847,155,70
160,847,808,70
161,847,813,61
162,847,814,67
163,847,816,69
164,848,1,57
165,848,2,56
166,848,3,57
167,848,4,57
168,848,5,55
169,848,10,55
170,848,13,57
171,848,15,55
172,848,16,56
173,848,17,57
174,848,18,57
175,848,20,57
176,848,22,56
177,848,24,54
178,848,30,56
179,848,39,54
180,848,67,56
181,848,153,56
182,848,155,56
183,848,808,56
184,848,813,56
185,848,814,56
186,848,815,56
187,848,816,55
188,849,1,52
189,849,2,52
190,849,3,52
191,849,4,52
192,849,5,2
193,849,10,50
194,849,13,52
195,849,15,10
196,849,16,52
197,849,17,52
198,849,18,39
199,849,20,52
200,849,22,51
201,849,24,50
202,849,30,52
203,849,67,25
204,849,153,52
205,849,155,23
206,849,808,52
207,849,813,51
